User ID,Age,Gender,Height (cm),Weight (kg),Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%),Mood Before Workout,Mood After Workout,HRmax,HR%,TLI,MET,WEI
2,36,Other,157,112,Cardio,73,612,168,2821,1.1,High,8.6,1.9,2541,73,38.4,28.5,Happy,Energized,182.8,91.90371991247264,12264,8.054794520547945,1.3848505740235604
14,18,Male,174,99,Cardio,60,205,96,3597,1.54,Low,7.1,1.9,2238,74,38.4,28.5,Tired,Neutral,195.4,49.12998976458546,5760,4.54054054054054,1.26100307062436
30,35,Male,188,79,Cardio,101,638,106,3022,10.91,Low,6.0,1.9,1577,63,38.4,28.5,Happy,Neutral,183.5,57.765667574931875,10706,5.888888888888889,6.239835972698087
32,19,Male,160,92,Cardio,83,849,85,13746,0.64,High,5.0,1.9,2499,75,38.4,28.5,Happy,Energized,194.7,43.65690806368773,7055,3.966666666666667,0.3366315802501223
34,39,Female,182,51,Cardio,37,486,127,5364,6.62,Medium,9.0,1.9,3481,57,38.4,28.5,Happy,Fatigued,180.7,70.28223574986166,4699,7.798245614035087,12.574821639569842
35,24,Female,166,51,Cardio,16,949,127,9209,11.32,Medium,5.7,1.9,3425,81,38.4,28.5,Tired,Fatigued,191.2,66.42259414225941,2032,5.487654320987654,46.99398535564853
36,21,Other,193,73,Cardio,27,689,173,5260,3.81,Medium,5.1,1.9,3934,67,38.4,28.5,Stressed,Fatigued,193.3,89.49818934299016,4671,9.037313432835822,12.629188940621944
56,28,Male,189,75,Cardio,79,920,97,17141,11.06,High,5.5,1.9,2783,88,38.4,28.5,Neutral,Energized,188.4,51.48619957537155,7663,3.8579545454545454,7.2080679405520165
57,32,Male,195,115,Cardio,12,155,142,17869,13.25,Low,7.9,1.9,3528,64,38.4,28.5,Neutral,Energized,185.6,76.50862068965517,1704,7.765625,84.47826867816092
65,20,Other,165,87,Cardio,45,247,121,11697,11.31,Medium,9.0,1.9,1677,64,38.4,28.5,Neutral,Energized,194.0,62.371134020618555,5445,6.6171875,15.67594501718213
68,23,Other,188,78,Cardio,87,113,147,14669,13.24,Medium,9.0,1.9,3489,63,38.4,28.5,Tired,Energized,191.9,76.60239708181345,12789,8.166666666666668,11.657652153600116
76,31,Male,151,110,Cardio,40,748,109,5366,14.93,Low,9.7,1.9,3977,59,38.4,28.5,Happy,Energized,186.3,58.5077831454643,4360,6.466101694915254,21.83803005904455
91,54,Male,174,60,Cardio,12,677,87,2312,12.03,Medium,8.1,1.9,3738,77,38.4,28.5,Happy,Neutral,170.2,51.116333725029385,1044,3.9545454545454546,51.24412455934196
97,58,Male,183,92,Cardio,101,890,97,5592,14.44,Low,8.2,1.9,3058,79,38.4,28.5,Neutral,Fatigued,167.4,57.94504181600956,9797,4.29746835443038,8.284419839833445
107,50,Female,193,73,Cardio,93,948,177,13007,3.5,Medium,5.3,1.9,2130,82,38.4,28.5,Happy,Energized,173.0,102.3121387283237,16461,7.5548780487804885,3.850456833861645
111,58,Male,168,106,Cardio,48,162,80,13213,5.95,Low,6.6,1.9,3248,54,38.4,28.5,Happy,Neutral,167.4,47.789725209080046,3840,5.185185185185185,5.923934687375547
114,49,Male,159,76,Cardio,74,980,124,11222,12.18,Low,6.4,1.9,1755,50,38.4,28.5,Neutral,Fatigued,173.7,71.3874496257916,9176,8.68,11.749988330299212
116,21,Male,170,87,Cardio,82,118,81,1615,2.68,Medium,4.5,1.9,3320,56,38.4,28.5,Neutral,Fatigued,193.3,41.90377651319193,6642,5.0625,1.3695380616506632
124,48,Female,175,88,Cardio,74,570,94,18314,12.77,Medium,8.2,1.9,1623,85,38.4,28.5,Tired,Energized,174.4,53.89908256880733,6956,3.870588235294118,9.301233573022563
131,42,Other,191,92,Cardio,37,275,85,5981,14.7,High,7.8,1.9,3780,75,38.4,28.5,Tired,Fatigued,178.6,47.59238521836507,3145,3.966666666666667,18.908326019188284
138,23,Other,160,57,Cardio,96,470,148,10123,7.66,Low,7.5,1.9,2490,76,38.4,28.5,Neutral,Neutral,191.9,77.12350182386659,14208,6.815789473684211,6.153812749696022
146,51,Female,195,106,Cardio,14,528,98,1542,7.17,Low,4.8,1.9,1804,76,38.4,28.5,Stressed,Neutral,172.3,56.877539175856064,1372,4.5131578947368425,29.129425420777714
