User ID,Age,Gender,Height (cm),Weight (kg),Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%),Mood Before Workout,Mood After Workout,HRmax,HR%,TLI,MET,WEI
9,37,Other,182,113,Running,25,226,123,9372,13.24,Low,4.1,1.9,3760,53,38.4,28.5,Tired,Neutral,182.1,67.54530477759472,3075,8.122641509433963,35.771993410214165
13,38,Male,178,71,Running,83,664,98,8098,11.26,High,8.5,1.9,2253,68,38.4,28.5,Tired,Energized,181.4,54.02425578831311,8134,5.044117647058823,7.329073737065128
40,29,Female,192,107,Running,43,161,88,15851,11.94,Medium,8.9,1.9,2353,65,38.4,28.5,Happy,Energized,187.7,46.883324453915826,3784,4.7384615384615385,13.0182998599943
49,49,Male,195,79,Running,103,767,144,11778,0.54,Low,9.9,1.9,3600,78,38.4,28.5,Neutral,Energized,173.7,82.90155440414509,14832,6.461538461538462,0.43462950852658594
50,27,Female,198,97,Running,115,976,108,14812,13.48,High,9.4,1.9,2834,83,38.4,28.5,Neutral,Neutral,189.1,57.112638815441564,12420,4.554216867469879,6.694594532453499
51,22,Other,164,62,Running,45,337,145,7504,12.91,Medium,4.8,1.9,1583,60,38.4,28.5,Neutral,Fatigued,192.6,75.28556593977154,6525,8.458333333333332,21.598592361832235
52,47,Male,193,57,Running,95,765,157,9861,6.8,Medium,7.8,1.9,2154,75,38.4,28.5,Stressed,Energized,175.1,89.66304968589378,14915,7.326666666666666,6.417986714358712
53,52,Other,194,66,Running,118,376,106,10944,8.22,Medium,5.3,1.9,2745,69,38.4,28.5,Stressed,Neutral,171.6,61.77156177156178,12508,5.3768115942028984,4.303069811544389
54,19,Other,162,65,Running,77,983,91,19207,3.67,Medium,6.2,1.9,2904,86,38.4,28.5,Neutral,Energized,194.7,46.738572162300976,7007,3.7034883720930236,2.227669608255124
61,33,Other,165,67,Running,27,639,152,16715,4.83,Low,9.0,1.9,1594,64,38.4,28.5,Stressed,Neutral,184.9,82.2065981611682,4104,8.3125,14.705847004386756
62,59,Other,158,91,Running,104,896,160,16743,3.68,Low,6.6,1.9,2849,74,38.4,28.5,Stressed,Fatigued,166.7,95.98080383923217,16640,7.567567567567568,3.396243828157446
63,43,Female,183,57,Running,50,891,138,2618,13.95,Medium,4.1,1.9,2786,85,38.4,28.5,Stressed,Neutral,177.9,77.5716694772344,6900,5.682352941176471,21.642495784148394
69,25,Male,160,77,Running,24,546,165,14355,14.91,Low,5.2,1.9,1941,84,38.4,28.5,Neutral,Energized,190.5,86.61417322834646,3960,6.875,53.809055118110244
89,19,Male,181,118,Running,29,927,99,5561,12.01,Low,7.4,1.9,3750,70,38.4,28.5,Happy,Neutral,194.7,50.847457627118644,2871,4.95,21.057860900058444
99,59,Female,167,70,Running,107,311,93,2451,3.76,Medium,7.7,1.9,2932,83,38.4,28.5,Tired,Neutral,166.7,55.788842231553694,9951,3.9216867469879517,1.9604303438377744
100,36,Male,151,83,Running,73,999,104,17526,10.35,High,6.3,1.9,3050,54,38.4,28.5,Stressed,Energized,182.8,56.89277899343544,7592,6.7407407407407405,8.06630496687749
118,40,Male,174,104,Running,82,395,166,5132,5.28,High,8.1,1.9,3470,60,38.4,28.5,Happy,Neutral,180.0,92.22222222222223,13612,9.683333333333334,5.938211382113822
119,31,Female,187,111,Running,39,459,80,10189,1.45,High,7.8,1.9,2860,56,38.4,28.5,Tired,Neutral,186.3,42.941492216854535,3120,5.0,1.5965426593445917
132,21,Other,161,117,Running,59,351,105,1843,9.13,Medium,8.8,1.9,2086,61,38.4,28.5,Stressed,Neutral,193.3,54.31971029487842,6195,6.024590163934426,8.405744999868475
141,41,Female,188,62,Running,25,420,144,5633,14.29,Medium,7.4,1.9,2877,74,38.4,28.5,Stressed,Neutral,179.3,80.31232571109871,3600,6.810810810810811,45.90652537646402
147,45,Male,168,83,Running,52,239,161,10805,2.28,High,8.7,1.9,2363,80,38.4,28.5,Happy,Neutral,176.5,91.21813031161473,8372,7.043750000000001,3.9995641752015683
155,24,Female,187,89,Running,82,182,163,19717,9.69,Low,5.9,1.9,2419,53,38.4,28.5,Neutral,Fatigued,191.2,85.2510460251046,13366,10.764150943396226,10.074178487600776
162,50,Male,176,69,Running,13,155,179,19847,14.57,High,6.2,1.9,2113,58,38.4,28.5,Happy,Fatigued,173.0,103.46820809248555,2327,10.801724137931036,115.96398399288574
163,40,Male,155,97,Running,51,560,84,9492,4.78,Low,9.7,1.9,3327,61,38.4,28.5,Happy,Neutral,180.0,46.666666666666664,4284,4.819672131147541,4.373856209150326
169,21,Female,169,62,Running,35,942,153,4207,7.78,Medium,4.1,1.9,2222,78,38.4,28.5,Happy,Energized,193.3,79.15157785825141,5355,6.865384615384615,17.594265021062743
181,44,Male,175,115,Running,66,958,131,3136,13.48,High,4.2,1.9,3493,79,38.4,28.5,Tired,Neutral,177.2,73.92776523702031,8646,5.80379746835443,15.099185990833845
206,42,Male,151,112,Running,39,929,147,18690,14.02,Medium,7.1,1.9,3258,83,38.4,28.5,Happy,Neutral,178.6,82.30683090705487,5733,6.198795180722891,29.588250495305367
218,37,Female,154,96,Running,57,920,96,11231,8.64,High,7.6,1.9,2810,68,38.4,28.5,Stressed,Fatigued,182.1,52.71828665568369,5472,4.9411764705882355,7.990982398335213
226,51,Female,185,68,Running,74,713,158,1660,6.66,Medium,4.3,1.9,1787,89,38.4,28.5,Stressed,Neutral,172.3,91.70052234474753,11692,6.213483146067415,8.253047011027277
230,43,Female,198,97,Running,14,388,112,10671,12.8,High,7.1,1.9,2635,54,38.4,28.5,Tired,Energized,177.9,62.95671725688589,1568,7.259259259259259,57.56042720629567
234,43,Other,193,84,Running,92,901,160,16890,5.17,Low,4.3,1.9,3527,71,38.4,28.5,Tired,Neutral,177.9,89.93816750983699,14720,7.887323943661972,5.054133978541926
235,54,Male,178,79,Running,12,346,179,11720,1.79,Medium,4.8,1.9,3759,76,38.4,28.5,Happy,Fatigued,170.2,105.17038777908343,2148,8.243421052631579,15.687916177046612
239,21,Male,176,111,Running,56,507,93,13516,6.92,High,4.5,1.9,2744,59,38.4,28.5,Neutral,Energized,193.3,48.111743404035174,5208,5.516949152542373,5.945236863498633
240,23,Male,187,87,Running,17,310,107,12789,5.15,Low,8.8,1.9,2837,54,38.4,28.5,Tired,Energized,191.9,55.75820739968733,1819,6.935185185185185,16.89145694755234
