User ID,Age,Gender,Height (cm),Weight (kg),Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%),Mood Before Workout,Mood After Workout,HRmax,HR%,TLI,MET,WEI
1,39,Male,175,99,Cycling,79,384,112,8850,14.44,High,8.2,1.9,3195,61,38.4,28.5,Tired,Fatigued,180.7,61.98118428334256,8848,6.426229508196721,11.329219000651474
4,56,Male,154,89,Cycling,39,672,118,14102,6.55,Medium,5.8,1.9,2071,65,38.4,28.5,Neutral,Neutral,168.8,69.90521327014217,4602,6.3538461538461535,11.740490946652082
10,45,Female,198,74,Cycling,60,265,171,19073,8.52,High,5.6,1.9,1908,53,38.4,28.5,Neutral,Energized,176.5,96.88385269121812,10260,11.29245283018868,13.757507082152973
16,34,Female,196,107,Cycling,18,191,87,10346,2.14,Medium,9.3,1.9,3569,88,38.4,28.5,Tired,Neutral,184.2,47.23127035830619,1566,3.460227272727273,5.615273253709736
21,38,Other,177,54,Cycling,19,695,91,14796,13.61,High,7.5,1.9,1825,54,38.4,28.5,Neutral,Fatigued,181.4,50.16538037486218,1729,5.898148148148148,35.934254047467064
24,58,Male,199,78,Cycling,52,737,142,2065,4.74,Medium,4.1,1.9,1664,89,38.4,28.5,Stressed,Energized,167.4,84.82676224611708,7384,5.584269662921348,7.732285635511442
29,40,Other,159,99,Cycling,87,850,169,8048,14.14,Low,6.9,1.9,2388,63,38.4,28.5,Neutral,Neutral,180.0,93.88888888888889,14703,9.388888888888888,15.259642401021711
45,20,Other,180,95,Cycling,86,697,155,7163,12.15,Low,4.6,1.9,2047,61,38.4,28.5,Neutral,Neutral,194.0,79.89690721649485,13330,8.89344262295082,11.287760728842006
58,39,Female,172,95,Cycling,91,455,134,13146,8.84,Medium,7.6,1.9,3686,53,38.4,28.5,Neutral,Fatigued,180.7,74.15605976757055,12194,8.849056603773585,7.203731520278282
59,28,Other,165,50,Cycling,38,388,132,9322,5.84,Low,5.7,1.9,2208,61,38.4,28.5,Neutral,Fatigued,188.4,70.06369426751591,5016,7.5737704918032795,10.767683540060341
