User ID,Age,Gender,Height (cm),Weight (kg),Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%),Mood Before Workout,Mood After Workout,HRmax,HR%,TLI,MET,WEI
3,25,Female,180,66,HIIT,27,540,133,18898,7.28,High,9.8,1.9,3362,80,38.4,28.5,Happy,Fatigued,190.5,69.81627296587926,3591,5.8187500000000005,18.82453582191115
12,46,Other,185,112,HIIT,111,761,85,17568,10.9,Low,6.2,1.9,2184,57,38.4,28.5,Tired,Neutral,175.8,48.35039817974972,9435,5.219298245614035,4.747921983416864
17,26,Other,185,74,HIIT,30,272,92,16563,4.09,Low,8.2,1.9,3241,60,38.4,28.5,Stressed,Neutral,189.8,48.47207586933614,2760,5.366666666666667,6.608359676852826
18,19,Female,187,96,HIIT,94,855,100,1056,11.73,High,4.4,1.9,2943,80,38.4,28.5,Happy,Energized,194.7,51.36106831022086,9400,4.375,6.409205651903093
22,24,Male,179,90,HIIT,35,221,132,19502,14.6,High,7.4,1.9,2285,68,38.4,28.5,Happy,Neutral,191.2,69.0376569037657,4620,6.794117647058823,28.798565451285118
25,21,Male,157,82,HIIT,14,861,175,19656,11.47,Medium,5.6,1.9,3693,51,38.4,28.5,Tired,Fatigued,193.3,90.53285049146405,2450,12.009803921568627,74.1722710812209
43,41,Male,176,75,HIIT,108,508,173,19400,6.89,Low,6.2,1.9,3181,81,38.4,28.5,Neutral,Energized,179.3,96.48633575013943,18684,7.475308641975309,6.155470864059821
44,20,Other,158,58,HIIT,48,900,112,12503,6.7,High,7.5,1.9,2156,62,38.4,28.5,Happy,Neutral,194.0,57.73195876288659,5376,6.32258064516129,8.058419243986254
46,44,Female,167,113,HIIT,118,799,131,6906,1.63,Medium,7.3,1.9,3597,63,38.4,28.5,Tired,Neutral,177.2,73.92776523702031,15458,7.277777777777779,1.0212055706469754
47,56,Male,187,87,HIIT,80,872,124,3864,6.06,High,9.8,1.9,1592,54,38.4,28.5,Stressed,Fatigued,168.8,73.45971563981041,9920,8.037037037037036,5.564573459715638
55,48,Male,164,57,HIIT,100,104,115,7042,6.11,Medium,6.8,1.9,1542,71,38.4,28.5,Happy,Fatigued,174.4,65.94036697247707,11500,5.669014084507042,4.028956422018349
67,51,Other,158,68,HIIT,39,255,111,3838,10.52,High,4.3,1.9,2306,87,38.4,28.5,Neutral,Energized,172.3,64.42251886244921,4329,4.4655172413793105,17.37756149828117
71,53,Female,184,85,HIIT,28,321,115,2265,1.19,Low,6.3,1.9,3678,72,38.4,28.5,Happy,Energized,170.9,67.29081334113516,3220,5.590277777777779,2.8598595669982445
81,56,Male,199,93,HIIT,19,796,170,18317,13.36,Low,4.5,1.9,1553,86,38.4,28.5,Stressed,Neutral,168.8,100.71090047393365,3230,6.9186046511627906,70.81566475430282
83,59,Male,197,92,HIIT,22,472,150,15125,14.26,High,9.6,1.9,3453,87,38.4,28.5,Stressed,Neutral,166.7,89.98200359928015,3300,6.0344827586206895,58.32469869662432
90,19,Male,172,75,HIIT,80,756,90,19815,0.71,Low,5.2,1.9,3648,76,38.4,28.5,Happy,Fatigued,194.7,46.22496147919877,7200,4.144736842105263,0.410246533127889
94,38,Male,189,82,HIIT,116,631,95,13141,6.55,Low,5.6,1.9,2767,82,38.4,28.5,Neutral,Neutral,181.4,52.37045203969129,11020,4.054878048780488,2.9571246625860166
105,56,Female,189,104,HIIT,27,600,177,14077,10.62,Low,6.9,1.9,3507,66,38.4,28.5,Neutral,Energized,168.8,104.85781990521326,4779,9.386363636363637,41.24407582938388
121,40,Male,191,100,HIIT,94,758,155,19139,5.58,Medium,6.7,1.9,1690,87,38.4,28.5,Happy,Neutral,180.0,86.11111111111111,14570,6.235632183908046,5.111702127659575
128,23,Female,190,116,HIIT,82,315,129,19121,9.4,Medium,7.5,1.9,3279,55,38.4,28.5,Happy,Neutral,191.9,67.22251172485669,10578,8.209090909090909,7.705995246507963
129,24,Male,160,87,HIIT,58,737,155,12387,12.59,Medium,9.6,1.9,3284,64,38.4,28.5,Neutral,Fatigued,191.2,81.06694560669456,8990,8.4765625,17.597118020487663
130,51,Female,153,101,HIIT,114,661,104,8906,14.32,Medium,5.9,1.9,3127,83,38.4,28.5,Neutral,Energized,172.3,60.35983749274521,11856,4.385542168674699,7.582042744702732
133,39,Male,157,64,HIIT,13,697,134,18559,4.45,Low,5.3,1.9,1560,80,38.4,28.5,Neutral,Fatigued,180.7,74.15605976757055,1742,5.8625,25.384189689668382
151,40,Other,181,83,HIIT,72,520,160,2337,12.6,Medium,6.3,1.9,2270,61,38.4,28.5,Stressed,Neutral,180.0,88.88888888888889,11520,9.180327868852459,15.555555555555555
154,31,Male,168,52,HIIT,91,751,153,14169,4.34,Low,6.0,1.9,2535,59,38.4,28.5,Happy,Energized,186.3,82.1256038647343,13923,9.076271186440678,3.916759568933482
157,59,Male,180,52,HIIT,26,687,134,4452,4.83,Medium,4.4,1.9,1708,73,38.4,28.5,Stressed,Fatigued,166.7,80.38392321535693,3484,6.424657534246576,14.932859581929769
159,57,Other,157,118,HIIT,50,926,156,11236,9.87,High,4.3,1.9,2766,64,38.4,28.5,Tired,Fatigued,168.1,92.80190362879239,7800,8.53125,18.319095776323614
164,57,Other,156,79,HIIT,53,375,134,12672,11.09,High,8.3,1.9,1533,66,38.4,28.5,Tired,Energized,168.1,79.71445568114218,7102,7.1060606060606055,16.6798738396956
168,41,Female,194,101,HIIT,46,159,154,6457,7.04,High,6.1,1.9,3149,60,38.4,28.5,Stressed,Energized,179.3,85.88957055214723,7084,8.983333333333334,13.144838623632968
173,22,Male,159,63,HIIT,111,301,160,18212,5.51,Low,8.9,1.9,1555,52,38.4,28.5,Tired,Fatigued,192.6,83.07372793354102,17760,10.76923076923077,4.123749918142441
174,31,Other,195,53,HIIT,52,213,147,16641,4.13,Medium,4.6,1.9,3238,51,38.4,28.5,Happy,Energized,186.3,78.90499194847021,7644,10.088235294117647,6.266877245138114
187,53,Other,170,64,HIIT,46,506,133,2042,11.83,Medium,5.4,1.9,1728,78,38.4,28.5,Happy,Fatigued,170.9,77.8232884727911,6118,5.967948717948718,20.014119622459106
201,53,Other,194,115,HIIT,85,530,106,14513,9.54,Low,7.1,1.9,2323,79,38.4,28.5,Happy,Fatigued,170.9,62.0245757753072,9010,4.69620253164557,6.96134650466389
209,26,Male,180,68,HIIT,49,937,155,16725,4.38,Medium,4.9,1.9,1659,63,38.4,28.5,Tired,Energized,189.8,81.66491043203371,7595,8.61111111111111,7.299843014128727
