User ID,Age,Gender,Height (cm),Weight (kg),Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%),Mood Before Workout,Mood After Workout,HRmax,HR%,TLI,MET,WEI
5,53,Other,194,59,Strength,56,410,170,16518,3.17,Medium,7.3,1.9,3298,59,38.4,28.5,Stressed,Energized,170.9,99.4733762434172,9520,10.084745762711863,5.630903619493438
7,48,Female,151,82,Strength,109,351,114,4687,6.47,Low,4.3,1.9,2310,72,38.4,28.5,Happy,Neutral,174.4,65.36697247706422,12426,5.541666666666666,3.880039558959684
8,59,Male,189,61,Strength,83,518,159,11234,7.64,Medium,8.8,1.9,2654,62,38.4,28.5,Neutral,Neutral,166.7,95.38092381523697,13197,8.975806451612904,8.779641662029041
19,20,Male,178,52,Strength,52,404,120,12065,7.99,Medium,6.7,1.9,1713,82,38.4,28.5,Tired,Energized,194.0,61.855670103092784,6240,5.121951219512195,9.50436161776368
20,44,Female,189,62,Strength,51,821,148,13797,12.82,High,6.1,1.9,2541,68,38.4,28.5,Happy,Neutral,177.2,83.52144469525959,7548,7.617647058823529,20.994998450847607
27,28,Female,151,110,Strength,61,629,112,8924,3.53,Low,4.3,1.9,2439,59,38.4,28.5,Happy,Energized,188.4,59.447983014862,6832,6.6440677966101696,3.440186558073161
28,54,Female,198,69,Strength,76,344,108,17737,10.96,Low,5.3,1.9,3829,58,38.4,28.5,Stressed,Fatigued,170.2,63.454759106933025,8208,6.517241379310344,9.150844208052447
31,26,Other,168,86,Strength,112,791,115,17512,5.42,Low,6.1,1.9,3029,77,38.4,28.5,Stressed,Neutral,189.8,60.590094836670175,12880,5.227272727272727,2.932127803703146
38,42,Female,174,55,Strength,67,155,89,6613,3.51,Medium,8.8,1.9,2380,56,38.4,28.5,Neutral,Neutral,178.6,49.83202687569989,5963,5.5625,2.610603199010546
39,48,Other,156,71,Strength,15,297,109,8357,1.83,High,8.8,1.9,3350,62,38.4,28.5,Stressed,Energized,174.4,62.5,1635,6.153225806451613,7.625
70,25,Male,165,60,Strength,53,934,93,15296,7.68,High,5.9,1.9,3684,55,38.4,28.5,Neutral,Neutral,190.5,48.818897637795274,4929,5.918181818181818,7.07413460109939
84,29,Male,190,93,Strength,105,846,172,14825,1.05,Medium,5.4,1.9,2264,86,38.4,28.5,Tired,Neutral,187.7,91.63558870538094,18060,7.0,0.9163558870538094
101,37,Male,190,91,Strength,60,494,107,6390,12.23,High,7.6,1.9,1795,60,38.4,28.5,Stressed,Neutral,182.1,58.75892366831411,6420,6.241666666666667,11.97702727439136
102,40,Female,191,118,Strength,35,601,136,18797,5.37,Low,7.8,1.9,3337,74,38.4,28.5,Stressed,Fatigued,180.0,75.55555555555556,4760,6.4324324324324325,11.592380952380953
104,26,Male,154,107,Strength,26,473,97,2809,7.77,Low,4.4,1.9,3888,50,38.4,28.5,Happy,Neutral,189.8,51.106427818756586,2522,6.79,15.272959390451486
109,34,Female,192,89,Strength,13,210,127,1232,3.72,Low,7.1,1.9,3904,55,38.4,28.5,Happy,Energized,184.2,68.94679695982629,1651,8.081818181818182,19.7293911300426
112,22,Male,152,72,Strength,62,167,90,16226,10.39,Medium,5.5,1.9,3787,55,38.4,28.5,Tired,Neutral,192.6,46.728971962616825,5580,5.7272727272727275,7.830871269219175
115,39,Female,152,112,Strength,35,827,158,2472,9.82,Medium,9.7,1.9,2675,66,38.4,28.5,Stressed,Fatigued,180.7,87.43774211400111,5530,8.378787878787879,24.532532215985455
117,38,Other,159,62,Strength,64,952,117,12733,13.34,Low,7.4,1.9,3448,61,38.4,28.5,Neutral,Energized,181.4,64.49834619625138,7488,6.713114754098361,13.443874035281146
125,35,Female,185,55,Strength,96,415,90,6433,2.07,Medium,8.3,1.9,2451,87,38.4,28.5,Happy,Energized,183.5,49.04632152588556,8640,3.620689655172414,1.0575613079019073
127,52,Male,180,118,Strength,18,616,169,19928,8.96,Low,5.9,1.9,2531,73,38.4,28.5,Stressed,Energized,171.6,98.48484848484848,3042,8.102739726027398,49.023569023569024
139,37,Female,170,107,Strength,54,466,115,13413,7.81,Medium,7.5,1.9,2140,76,38.4,28.5,Neutral,Fatigued,182.1,63.152114222954424,6210,5.296052631578947,9.133666890393963
143,44,Other,167,87,Strength,20,315,145,13866,14.92,High,9.0,1.9,2905,57,38.4,28.5,Happy,Neutral,177.2,81.82844243792326,2900,8.903508771929824,61.044018058690746
145,57,Female,171,75,Strength,102,922,108,12207,4.85,Low,6.1,1.9,3367,70,38.4,28.5,Happy,Neutral,168.1,64.24747174301012,11016,5.4,3.054904293662736
148,58,Other,156,59,Strength,47,195,179,5264,5.23,High,9.0,1.9,1756,61,38.4,28.5,Neutral,Fatigued,167.4,106.92951015531659,8413,10.270491803278688,11.89875187472991
152,34,Female,156,57,Strength,36,464,95,5074,0.57,Low,9.7,1.9,1763,89,38.4,28.5,Happy,Fatigued,184.2,51.57437567861021,3420,3.735955056179775,0.816594281577995
156,40,Other,192,60,Strength,28,469,84,8764,6.04,High,8.1,1.9,3402,76,38.4,28.5,Stressed,Neutral,180.0,46.666666666666664,2352,3.868421052631579,10.066666666666666
161,20,Female,174,56,Strength,101,756,134,1529,8.97,High,4.4,1.9,1631,89,38.4,28.5,Happy,Neutral,194.0,69.0721649484536,13534,5.269662921348314,6.134428906808206
183,33,Male,181,89,Strength,78,608,134,12848,12.14,Low,7.4,1.9,1536,62,38.4,28.5,Stressed,Energized,184.9,72.47160627366144,10452,7.564516129032258,11.279555130285255
184,27,Other,197,73,Strength,88,475,132,15019,5.27,Medium,9.0,1.9,2462,88,38.4,28.5,Stressed,Energized,189.1,69.80433632998414,11616,5.25,4.180327868852459
186,23,Other,166,89,Strength,16,734,146,15052,6.44,High,8.2,1.9,3055,79,38.4,28.5,Neutral,Fatigued,191.9,76.08129233976028,2336,6.4683544303797476,30.622720166753517
196,41,Female,161,56,Strength,98,993,137,4523,10.31,Medium,4.2,1.9,2691,58,38.4,28.5,Happy,Neutral,179.3,76.40825432236474,13426,8.267241379310345,8.038460225138577
197,39,Male,162,56,Strength,97,751,120,12131,8.73,High,6.0,1.9,3533,76,38.4,28.5,Tired,Energized,180.7,66.40841173215274,11640,5.526315789473684,5.9767570558937475
199,36,Female,179,119,Strength,56,604,111,4755,9.69,Low,4.2,1.9,2195,71,38.4,28.5,Tired,Fatigued,182.8,60.72210065645513,6216,5.471830985915493,10.507092060018753
202,51,Female,184,106,Strength,75,507,133,12678,10.96,Medium,7.9,1.9,1927,85,38.4,28.5,Happy,Energized,172.3,77.19094602437609,9975,5.476470588235294,11.280170245695492
207,57,Male,194,91,Strength,68,643,141,17284,7.66,High,4.9,1.9,1957,81,38.4,28.5,Stressed,Energized,168.1,83.87864366448542,9588,6.092592592592593,9.448682506911153
212,44,Male,194,82,Strength,66,371,104,11533,1.06,Medium,7.3,1.9,3041,71,38.4,28.5,Stressed,Neutral,177.2,58.69074492099323,6864,5.126760563380282,0.9426089335795883
214,55,Other,190,100,Strength,72,564,169,8791,1.18,Low,7.8,1.9,3633,67,38.4,28.5,Tired,Fatigued,169.5,99.70501474926253,12168,8.828358208955224,1.6340544083906914
221,34,Other,174,68,Strength,94,819,167,15550,4.48,Low,5.7,1.9,2780,53,38.4,28.5,Happy,Neutral,184.2,90.66232356134637,15698,11.028301886792452,4.320927761221615
231,25,Male,158,97,Strength,104,217,87,11900,8.1,Medium,5.2,1.9,2629,50,38.4,28.5,Stressed,Energized,190.5,45.66929133858268,9048,6.09,3.5569351907934585
242,24,Male,170,99,Strength,73,639,167,1705,8.29,High,5.8,1.9,1740,68,38.4,28.5,Stressed,Energized,191.2,87.34309623430963,12191,8.595588235294118,9.91882558606064
243,19,Other,174,84,Strength,57,559,123,5723,2.57,Low,8.7,1.9,3302,50,38.4,28.5,Tired,Neutral,194.7,63.17411402157165,7011,8.61,2.8483767199199845
247,55,Other,178,75,Strength,82,353,174,19462,3.12,Medium,6.6,1.9,1959,59,38.4,28.5,Neutral,Neutral,169.5,102.65486725663717,14268,10.322033898305085,3.9058925102525364
252,37,Female,156,110,Strength,119,731,141,6102,5.63,Medium,6.2,1.9,3385,89,38.4,28.5,Neutral,Fatigued,182.1,77.42998352553542,16779,5.544943820224719,3.6632840945274316
261,40,Other,162,80,Strength,68,230,100,15133,7.53,High,5.2,1.9,1734,69,38.4,28.5,Stressed,Fatigued,180.0,55.55555555555556,6800,5.072463768115942,6.151960784313726
269,41,Male,182,82,Strength,13,400,144,4032,5.05,High,5.6,1.9,1758,75,38.4,28.5,Neutral,Fatigued,179.3,80.31232571109871,1872,6.72,31.198249603157574
270,19,Female,192,68,Strength,78,967,103,2569,8.54,Medium,4.1,1.9,3415,69,38.4,28.5,Happy,Neutral,194.7,52.901900359527474,8034,5.22463768115942,5.792079859876469
294,26,Female,167,94,Strength,102,255,134,17765,8.25,Low,4.0,1.9,2022,58,38.4,28.5,Stressed,Fatigued,189.8,70.60063224446786,13668,8.086206896551724,5.710345255067253
298,28,Male,154,97,Strength,53,758,171,19488,2.19,Low,4.5,1.9,3099,61,38.4,28.5,Stressed,Neutral,188.4,90.76433121019109,9063,9.811475409836065,3.750450666987141
299,23,Other,152,52,Strength,40,972,163,16692,1.71,High,4.9,1.9,3705,76,38.4,28.5,Neutral,Energized,191.9,84.94007295466388,6520,7.506578947368421,3.63118811881188
306,21,Female,183,106,Strength,23,551,170,19965,14.24,High,6.8,1.9,1878,59,38.4,28.5,Happy,Neutral,193.3,87.94619762027935,3910,10.084745762711863,54.45016757012078
307,28,Other,189,72,Strength,54,587,176,1198,13.77,High,8.4,1.9,3410,80,38.4,28.5,Happy,Neutral,188.4,93.41825902335457,9504,7.700000000000001,23.82165605095541
308,40,Other,163,119,Strength,78,627,164,4293,7.69,Low,7.7,1.9,3036,85,38.4,28.5,Happy,Energized,180.0,91.11111111111111,12792,6.752941176470588,8.982621082621083
316,22,Female,166,89,Strength,68,918,86,15464,14.55,Low,9.8,1.9,2685,76,38.4,28.5,Tired,Fatigued,192.6,44.652128764278295,5848,3.9605263157894735,9.554242257650724
