User ID,Age,Gender,Height (cm),Weight (kg),Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),VO2 Max,Body Fat (%),Mood Before Workout,Mood After Workout,HRmax,HR%,TLI,MET,WEI
6,33,Male,162,81,Yoga,11,301,142,10895,6.53,Low,4.2,1.9,2401,69,38.4,28.5,Happy,Neutral,184.9,76.79826933477555,1562,7.202898550724637,45.590245341462214
11,28,Other,167,84,Yoga,31,292,147,3478,13.49,Low,6.3,1.9,1893,51,38.4,28.5,Stressed,Fatigued,188.4,78.02547770700636,4557,10.088235294117647,33.95366755701664
15,38,Male,179,75,Yoga,50,463,85,9695,1.92,High,7.3,1.9,1759,81,38.4,28.5,Stressed,Neutral,181.4,46.85777287761852,4250,3.6728395061728394,1.799338478500551
23,56,Other,159,107,Yoga,60,772,174,5310,10.61,Medium,9.8,1.9,2600,53,38.4,28.5,Happy,Energized,168.8,103.08056872037913,10440,11.49056603773585,18.228080568720376
26,43,Female,186,59,Yoga,90,685,157,18426,9.61,High,6.7,1.9,3150,79,38.4,28.5,Stressed,Fatigued,177.9,88.25182686902754,14130,6.955696202531645,9.42333395790394
33,28,Other,157,79,Yoga,31,482,92,5434,2.21,Low,5.1,1.9,1813,52,38.4,28.5,Tired,Fatigued,188.4,48.832271762208066,2852,6.192307692307692,3.481268406273543
37,55,Male,170,80,Yoga,63,304,87,2483,6.72,High,5.6,1.9,3289,52,38.4,28.5,Stressed,Energized,169.5,51.32743362831859,5481,5.855769230769231,5.474926253687316
41,54,Male,197,89,Yoga,108,121,134,10133,5.13,High,5.0,1.9,3849,82,38.4,28.5,Stressed,Fatigued,170.2,78.73090481786134,14472,5.7195121951219505,3.739717978848414
42,42,Female,179,63,Yoga,101,927,128,12079,14.48,High,5.6,1.9,2626,85,38.4,28.5,Tired,Neutral,178.6,71.66853303471444,12928,5.270588235294118,10.274855033095694
48,36,Male,170,83,Yoga,77,506,144,5052,1.45,Low,6.1,1.9,3695,67,38.4,28.5,Neutral,Fatigued,182.8,78.7746170678337,11088,7.522388059701493,1.4834181136150502
64,57,Male,161,97,Yoga,98,360,167,15113,5.48,Medium,9.6,1.9,1808,81,38.4,28.5,Happy,Energized,168.1,99.3456276026175,16366,7.216049382716049,5.555245298595347
73,53,Other,193,76,Yoga,36,739,128,1988,12.36,Medium,6.1,1.9,2196,83,38.4,28.5,Stressed,Neutral,170.9,74.89760093622002,4608,5.397590361445784,25.714842988102205
79,38,Other,181,101,Yoga,91,445,119,5178,12.78,Low,8.9,1.9,2171,76,38.4,28.5,Neutral,Energized,181.4,65.60088202866594,10829,5.480263157894737,9.212959036553302
80,21,Female,195,83,Yoga,54,849,131,5308,3.56,High,4.6,1.9,1547,62,38.4,28.5,Happy,Energized,193.3,67.7703052250388,7074,7.39516129032258,4.467820122243299
82,36,Other,160,117,Yoga,32,929,152,16327,7.45,Medium,6.9,1.9,2785,64,38.4,28.5,Neutral,Energized,182.8,83.15098468271334,4864,8.3125,19.358588621444202
85,34,Other,174,71,Yoga,117,524,126,18867,7.08,Medium,4.4,1.9,3265,67,38.4,28.5,Stressed,Energized,184.2,68.40390879478828,14742,6.5820895522388065,4.139313455274368
87,50,Female,194,57,Yoga,51,125,96,13642,11.72,High,4.5,1.9,2866,84,38.4,28.5,Neutral,Energized,173.0,55.49132947976878,4896,4.0,12.752125127507648
88,56,Other,170,55,Yoga,57,595,88,6310,4.57,Medium,7.3,1.9,3220,77,38.4,28.5,Happy,Fatigued,168.8,52.132701421800945,5016,4.0,4.179762201712813
92,36,Female,162,61,Yoga,74,662,145,16019,3.33,Medium,4.7,1.9,2216,89,38.4,28.5,Happy,Neutral,182.8,79.32166301969364,10730,5.702247191011236,3.5694748358862145
93,54,Male,178,56,Yoga,115,323,163,12757,7.86,Low,4.9,1.9,3300,61,38.4,28.5,Happy,Energized,170.2,95.76968272620448,18745,9.352459016393443,6.545649619373628
98,23,Other,182,53,Yoga,100,116,168,14430,8.36,High,4.7,1.9,2356,57,38.4,28.5,Happy,Neutral,191.9,87.54559666492965,16800,10.31578947368421,7.318811881188118
106,54,Male,171,106,Yoga,90,205,140,4391,13.71,High,7.6,1.9,1612,89,38.4,28.5,Tired,Neutral,170.2,82.25616921269095,12600,5.5056179775280905,12.530356443399922
110,24,Female,169,110,Yoga,44,388,128,10356,3.48,Medium,7.9,1.9,2552,65,38.4,28.5,Happy,Energized,191.2,66.94560669456068,5632,6.892307692307693,5.294788893115254
113,52,Other,199,52,Yoga,98,280,90,17157,11.53,High,4.5,1.9,3425,64,38.4,28.5,Neutral,Neutral,171.6,52.44755244755245,8820,4.921875,6.170615099186527
126,47,Other,174,97,Yoga,73,458,155,15661,8.93,Medium,4.8,1.9,2713,66,38.4,28.5,Tired,Neutral,175.1,88.5208452312964,11315,8.21969696969697,10.828645861855847
134,20,Female,171,63,Yoga,47,629,142,10885,1.13,Low,7.2,1.9,2016,84,38.4,28.5,Neutral,Neutral,194.0,73.19587628865979,6674,5.916666666666667,1.7598157490677777
135,55,Female,159,55,Yoga,55,538,114,8489,3.44,High,4.0,1.9,3516,68,38.4,28.5,Happy,Neutral,169.5,67.2566371681416,6270,5.86764705882353,4.206596942880129
136,52,Female,187,117,Yoga,40,469,156,11306,6.62,High,9.5,1.9,1900,79,38.4,28.5,Happy,Fatigued,171.6,90.90909090909092,6240,6.9113924050632916,15.045454545454547
144,30,Male,171,75,Yoga,113,968,169,6590,3.54,Medium,7.0,1.9,2912,82,38.4,28.5,Happy,Neutral,187.0,90.37433155080214,19097,7.213414634146342,2.831195873361412
150,36,Male,167,95,Yoga,68,367,110,13485,11.31,Low,6.1,1.9,2570,57,38.4,28.5,Stressed,Neutral,182.8,60.17505470459519,7480,6.754385964912281,10.008527481014289
158,44,Female,185,90,Yoga,12,582,126,11159,8.19,High,9.2,1.9,3398,56,38.4,28.5,Tired,Fatigued,177.2,71.10609480812641,1512,7.875,48.52990970654628
165,52,Female,170,85,Yoga,70,451,177,14243,5.43,Low,7.6,1.9,1520,79,38.4,28.5,Happy,Neutral,171.6,103.14685314685315,12390,7.841772151898734,8.00124875124875
166,25,Male,171,57,Yoga,111,472,80,9634,14.96,Medium,4.0,1.9,2276,71,38.4,28.5,Stressed,Fatigued,190.5,41.99475065616798,8880,3.943661971830986,5.659833061407865
170,45,Male,172,65,Yoga,20,123,155,19805,9.64,Low,8.1,1.9,2685,54,38.4,28.5,Tired,Fatigued,176.5,87.81869688385268,3100,10.046296296296296,42.328611898016995
178,56,Other,190,89,Yoga,41,225,121,17825,2.37,Low,7.4,1.9,2568,52,38.4,28.5,Happy,Neutral,168.8,71.6824644549763,4961,8.14423076923077,4.143596116055947
179,26,Female,189,103,Yoga,111,673,151,5713,10.08,High,5.1,1.9,2977,78,38.4,28.5,Tired,Neutral,189.8,79.55742887249735,16761,6.7756410256410255,7.224674621934895
180,57,Other,177,69,Yoga,24,838,111,14443,3.56,Medium,9.6,1.9,2246,70,38.4,28.5,Neutral,Energized,168.1,66.03212373587151,2664,5.55,9.794765020820941
189,59,Male,174,76,Yoga,53,845,87,12302,4.77,Medium,9.9,1.9,3748,53,38.4,28.5,Neutral,Neutral,166.7,52.18956208758249,4611,5.745283018867925,4.697060587882423
190,21,Male,151,98,Yoga,79,732,115,9662,5.56,Low,4.2,1.9,3417,89,38.4,28.5,Stressed,Neutral,193.3,59.49301603724779,9085,4.52247191011236,4.187103407178451
191,57,Other,161,90,Yoga,106,566,86,14591,7.87,High,4.6,1.9,3710,54,38.4,28.5,Tired,Fatigued,168.1,51.16002379535991,9116,5.574074074074074,3.798390445938514
192,20,Female,165,54,Yoga,32,901,123,3140,0.66,High,8.4,1.9,3793,75,38.4,28.5,Stressed,Neutral,194.0,63.4020618556701,3936,5.739999999999999,1.3076675257731958
194,34,Male,152,93,Yoga,71,757,139,2704,3.8,High,8.9,1.9,2247,61,38.4,28.5,Happy,Neutral,184.2,75.46145494028231,9869,7.975409836065574,4.0387820953953915
198,32,Female,185,56,Yoga,54,827,121,4951,14.53,Low,6.1,1.9,1659,53,38.4,28.5,Tired,Neutral,185.6,65.19396551724138,6534,7.990566037735849,17.542005906768836
